Material: paraffin wax
Main Parameters: ['R']
Minor Parameters: ['THR']
Info: , Area, 55.42, mm^2, Thickness, 37, mm, voltage, 1, V, n=2, freq_fixed, 10000, Hz

Time (s),PV (°C),SV (°C),R Avg.,R Std.,R-THR Avg.,R-THR Std.
0.0,27.6,80.0,100964.5,0.5,-0.241474,0.0
1.3,27.6,80.0,100965.5,0.5,-0.2418785,0.0004045000000000021
2.6,27.7,80.0,100964.0,1.0,-0.24309,0.0
4.0,29.1,80.0,100965.5,0.5,-0.2426835,0.0012095000000000022
5.3,29.4,80.0,100965.5,0.5,-0.2426865,0.0004035000000000011
6.6,29.5,80.0,100967.0,0.0,-0.24309,0.0
8.0,29.6,80.0,100965.0,1.0,-0.243088,0.0008050000000000002
9.3,29.7,80.0,100965.5,0.5,-0.243893,0.0
10.7,29.9,80.0,100966.5,0.5,-0.243893,0.0
12.0,30.0,80.0,100967.0,0.0,-0.243892,0.0008019999999999972
13.3,30.1,80.0,100964.5,0.5,-0.2450935,0.0003994999999999971
14.7,30.2,80.0,100965.0,0.0,-0.2442935,0.0004004999999999981
16.0,30.4,80.0,100967.5,0.5,-0.245493,0.0
17.4,30.5,80.0,100966.0,0.0,-0.2450935,0.0003994999999999971
18.7,30.6,80.0,100966.0,0.0,-0.2450935,0.0003994999999999971
20.0,30.8,80.0,100966.5,0.5,-0.2458905,0.00039750000000000896
21.4,32.0,80.0,100966.5,0.5,-0.2458905,0.00039750000000000896
22.7,32.5,80.0,100965.0,1.0,-0.245493,0.0
24.1,32.6,80.0,100965.5,0.5,-0.246288,0.0
25.4,32.6,80.0,100964.5,0.5,-0.244693,0.0007999999999999952
26.7,32.6,80.0,100965.0,1.0,-0.2458905,0.00039750000000000896
28.1,32.7,80.0,100965.0,0.0,-0.2462875,0.0007945000000000035
29.4,32.7,80.0,100966.0,0.0,-0.2450935,0.0003994999999999971
30.8,32.7,80.0,100966.0,0.0,-0.246685,0.0003969999999999946
32.1,32.7,80.0,100964.5,0.5,-0.2458905,0.00039750000000000896
33.4,32.8,80.0,100965.0,1.0,-0.2442935,0.0004004999999999981
34.8,32.8,80.0,100966.0,0.0,-0.244693,0.0007999999999999952
36.1,32.8,80.0,100964.5,1.5,-0.243893,0.0
37.5,32.8,80.0,100964.5,0.5,-0.2434915,0.0004014999999999991
38.8,32.8,80.0,100963.5,0.5,-0.243892,0.0008019999999999972
40.1,32.8,80.0,100965.0,0.0,-0.2442935,0.0004004999999999981
41.5,32.8,80.0,100965.5,1.5,-0.24309,0.0
42.8,32.8,80.0,100964.5,0.5,-0.2434915,0.0004014999999999991
44.2,32.8,80.0,100964.5,0.5,-0.24309,0.0
45.5,32.8,80.0,100965.5,0.5,-0.2426865,0.0004035000000000011
46.8,32.8,80.0,100962.5,0.5,-0.242283,0.0
48.2,32.8,80.0,100966.0,1.0,-0.2426865,0.0004035000000000011
49.5,32.9,80.0,100964.0,1.0,-0.2434915,0.0004014999999999991
50.9,32.9,80.0,100965.5,0.5,-0.2426865,0.0004035000000000011
52.2,33.0,80.0,100964.5,0.5,-0.2426865,0.0004035000000000011
53.5,33.0,80.0,100966.5,0.5,-0.2426865,0.0004035000000000011
54.9,33.0,80.0,100963.0,1.0,-0.242282,0.0008080000000000032
56.2,33.0,80.0,100966.0,0.0,-0.242282,0.0008080000000000032
57.6,33.0,80.0,100963.0,1.0,-0.242283,0.0
58.9,33.0,80.0,100966.0,0.0,-0.2426865,0.0004035000000000011
